Timestep,1Hz,,
Voltage,Current,Bat_Temp,ambient_Temp
3.2017,-2.9906,31.37286,31.068973
3.2016,-3.0036,31.390251,31.069871
3.2022,-3.0064,31.38785,31.061604
3.2018,-2.9852,31.369423,31.073968
3.203,-2.9695,31.377411,31.068393
3.2018,-3.0017,31.382364,31.075914
3.2002,-3.028,31.382593,31.083108
3.2016,-2.9986,31.388622,31.062376
3.2022,-3.0032,31.383894,31.077811
3.2012,-3.0252,31.387307,31.063627
3.2,-3.0096,31.402651,31.070909
3.2011,-3.0194,31.385601,31.070719
3.2017,-3.014,31.388382,31.067635
3.2021,-3.0083,31.389962,31.071415
3.2009,-3.0533,31.392223,31.07331
3.2018,-2.9695,31.415389,31.080352
3.2024,-2.9811,31.399339,31.075661
3.2,-3.0173,31.403157,31.067749
3.201,-3.0218,31.394436,31.063792
3.2014,-3.033,31.407225,31.051655
3.2009,-3.0025,31.405141,31.053236
3.2,-3.0511,31.41716,31.067825
3.2012,-3.0112,31.406948,31.05651
3.2005,-2.9954,31.415037,31.0712
3.2003,-2.9754,31.405065,31.075157
3.2006,-3.0016,31.432212,31.047686
3.2002,-3.0163,31.397698,31.066321
3.1996,-3.0054,31.428004,31.073539
3.2009,-3.0027,31.406101,31.084258
3.2014,-2.9784,31.413394,31.080922
3.2005,-2.9923,31.414455,31.069152
3.2004,-3.0056,31.418069,31.068368
3.1994,-3.0051,31.41065,31.064979
3.1993,-3.0262,31.420926,31.070859
3.1995,-3.0007,31.418777,31.067243
3.2001,-3.0101,31.404371,31.080695
3.1996,-2.9967,31.417501,31.078798
3.2,-3.0106,31.42837,31.060341
3.1995,-2.9982,31.423695,31.064463
3.2006,-2.9803,31.415176,31.064374
3.1997,-3.0203,31.428762,31.053034
3.1995,-3.0318,31.441033,31.062743
3.2003,-3.0169,31.42238,31.058382
3.1995,-2.9949,31.416516,31.060948
3.2002,-3.0043,31.43081,31.07158
3.1985,-3.0047,31.42602,31.051391
3.2008,-3.0128,31.428599,31.05947
3.1994,-2.9842,31.420674,31.050809
3.2011,-3.0082,31.419689,31.065222
3.199,-2.9841,31.416388,31.050188
3.1992,-2.9684,31.428448,31.057486
3.1996,-3.0438,31.425654,31.069355
3.1996,-2.9856,31.409325,31.055589
3.1986,-2.9975,31.422532,31.068065
3.1992,-2.9915,31.435169,31.064576
3.2004,-2.9975,31.442854,31.067497
3.1994,-2.9968,31.427992,31.079393
3.1993,-2.9884,31.435689,31.061796
3.1975,-3.0272,31.432592,31.060531
3.1991,-2.9988,31.427626,31.05483
3.1992,-2.9936,31.435208,31.070114
3.1979,-3.0002,31.422621,31.080986
3.1989,-2.981,31.440048,31.054058
3.199,-2.9857,31.440719,31.061328
3.1979,-3.0199,31.4356,31.074905
3.1989,-2.987,31.437205,31.055247
3.1987,-2.9541,31.442234,31.050378
3.1994,-3.006,31.424808,31.061177
3.1994,-3.0091,31.427841,31.052846
3.1992,-2.9893,31.420637,31.054805
3.1977,-2.9924,31.43694,31.058648
3.1976,-3.0002,31.447834,31.055614
3.1993,-2.9995,31.446544,31.055424
3.1989,-3.0055,31.435196,31.067169
3.1986,-2.9801,31.437913,31.047523
3.1983,-3.0179,31.420903,31.064969
3.1988,-3.0194,31.442779,31.063022
3.1983,-3.0026,31.433414,31.054021
3.1991,-2.9944,31.422811,31.050014
3.1994,-2.9798,31.428549,31.067485
3.1986,-2.9363,31.432997,31.052138
3.1973,-2.9838,31.44298,31.058458
3.199,-2.9707,31.436447,31.056688
3.1968,-2.9849,31.422671,31.059773
3.1994,-2.9594,31.454761,31.064376
3.1979,-3.0019,31.437799,31.053274
3.1976,-2.9611,31.432493,31.054933
3.1977,-2.9713,31.44949,31.047738
3.1987,-3.0012,31.428991,31.053629
3.1973,-2.9837,31.441528,31.06507
3.197,-3.0138,31.442678,31.068054
3.1981,-2.9616,31.442664,31.070606
3.1977,-3.0003,31.442829,31.066738
3.197,-3.0395,31.449769,31.065249
3.1976,-2.999,31.439404,31.065513
3.1963,-3.0085,31.441553,31.048964
3.1979,-2.9639,31.429445,31.074614
3.1971,-2.9924,31.439404,31.055614
3.1971,-2.9896,31.433123,31.061796
3.1972,-2.998,31.457159,31.052477
3.1966,-3.0045,31.436282,31.064956
3.1974,-3.0029,31.436408,31.051884
3.197,-3.0005,31.425931,31.044336
